name,points
Eyal Ran,90
Bartlomiej Dabrowski,90
Bernard Balleret,90
Gerald Melzer,90
Tony Mmoh,89
Marzio Martelli,89
Jeff Salzenstein,89
Paul Hutchins,89
Denis Naegelen,89
Konstantinos Economidis,88
Martin Rodriguez,88
Jens Woehrmann,88
Francisco Montana,88
Wojtek Kowalski,87
Mark Nielsen,87
Alessio Di Mauro,87
Danny Sapsford,86
Werner Eschauer,86
Juan Ignacio Muntanola,86
Christophe Casa,86
Miguel Tobon,86
Nicolas Kicker,86
Chris Dunk,86
Marko Tkalec,85
Tanakorn Srichaphan,85
Lenny Schloss,85
Peter Kanderal,85
Ian Crookenden,85
Roko Karanusic,85
Thierry Guardiola,85
Federico Luzzi,85
Victor Crivoi,85
Eric Friedler,85
